ticker,corp_name,revenue,operating_income,net_income
002800,신신제약,106387869012.0,6890119518.0,4811443128.0
002810,삼영무역,480191108812.0,18360036943.0,62583990331.0
002820,SUN&L,339342203215.0,-5864106894.0,-10573710008.0
002840,미원상사,435797799410.0,59945950557.0,50549440013.0
002870,신풍,22778451624.0,-4365691306.0,308958199.0
002880,대유에이텍,564915822828.0,37469149998.0,4844819495.0
002900,TYM,788790147164.0,16080371733.0,18209004495.0
002920,유성기업,324603324420.0,-473712416.0,-6807745273.0
002960,한국쉘석유,327169149754.0,45955067339.0,36654972144.0
002990,금호건설,1914191087195.0,-181828149572.0,-228542567313.0
003000,부광약품,160086870107.0,1617661424.0,-3458761838.0
003010,혜인,248825923748.0,14157545456.0,7274399159.0
003030,세아제강지주,3675086864147.0,211611279793.0,117043515792.0
003060,에이프로젠바이오로직스,67378141310.0,-52823131512.0,-104979607721.0
003070,코오롱글로벌,2911960747188.0,-56668787248.0,22516469837.0
003080,SB성보,59837932666.0,-2930119648.0,-3644166613.0
003090,대웅,1936916852599.0,281913080239.0,68860695957.0
003120,일성아이에스,69018340865.0,-9518107492.0,13094107409.0
003200,일신방직,523651392861.0,9064191185.0,29002122880.0
003220,대원제약,598162352613.0,28220453539.0,9044729468.0
003230,삼양식품,1728015003746.0,344569150443.0,271255665463.0
003240,태광산업,2121863335311.0,-27164631033.0,218362415993.0
003280,흥아해운,188000981753.0,27541001667.0,39961399082.0
003310,대주산업,106038654753.0,10025103418.0,8315526894.0
003350,한국화장품제조,167469221700.0,26545200453.0,23136186920.0
003380,하림지주,12272959000000.0,765480000000.0,174817000000.0
003470,유안타증권,2712726528000.0,,73049835000.0
003490,대한항공,17870718495804.0,2110200077994.0,1381858075058.0
003520,영진약품,252040228764.0,8721997142.0,1232792247.0
003530,한화투자증권,2495792979346.0,,38890352038.0
003540,대신증권,4093862748000.0,,144182139000.0
003560,아이에이치큐,32431991390.0,-7164297756.0,
003570,SNT다이내믹스,614453293151.0,110508614595.0,96131825495.0
003580,HLB글로벌,98261049794.0,-3666767452.0,-9007042854.0
003610,방림,110595886622.0,-3270147637.0,617138946.0
003620,KG모빌리티,3905069387798.0,1432909587.0,33844431596.0
003650,미창석유공업,431941622345.0,45639201298.0,52625419138.0
003670,포스코퓨처엠,3699944235821.0,721245866.0,-231338259262.0
003680,한성기업,332486628912.0,11004187308.0,2838736942.0
003720,삼영,126040086242.0,9101817091.0,
003780,진양산업,88220353454.0,8195906921.0,10046023809.0
003830,대한화섬,123785673930.0,-1542476290.0,-2494580182.0
003850,보령,1017106670442.0,70472227261.0,69635720165.0
003920,남양유업,952794199365.0,-9807235105.0,249980282.0
003960,사조대림,2642956274496.0,133016935612.0,95780719849.0
004000,롯데정밀화학,1670545189888.0,50372565787.0,36380501672.0
004020,현대제철,23226141091217.0,159492008580.0,8814214272.0
004060,SG세계물산,138801745057.0,-2756643488.0,5357541497.0
004080,신흥,101755599986.0,6277866223.0,5220337628.0
004090,한국석유공업,721176274228.0,13916814381.0,12890793820.0
004100,태양금속공업,620020921700.0,16053014687.0,2382264256.0
004140,동방,871649680262.0,39038582380.0,20782012909.0
004150,한솔홀딩스,791639938000.0,7479492000.0,1583567000.0
004250,엔피씨,458265475806.0,10494660290.0,75812415320.0
004310,현대약품,175735499255.0,180885917.0,-574887516.0
004360,세방,1373388758110.0,24495686269.0,85471393368.0
004380,삼익THK,304426059356.0,564892513.0,1533340639.0
004410,서울식품공업,58588657427.0,-2232262628.0,-2987007773.0
004430,송원산업,1070200000000.0,62814000000.0,45088000000.0
004440,삼일씨엔에스,221295516428.0,-1674561213.0,-2013922758.0
004490,세방전지,2059542800914.0,179667570936.0,172321249541.0
004540,깨끗한나라,537049885546.0,-902193220.0,-22142799877.0
004560,현대비앤지스틸,795376120096.0,30627008612.0,24969800651.0
004590,한국가구,128719457546.0,17822858597.0,15985694911.0
004650,창해에탄올,137452411912.0,17381138261.0,12442832974.0
004690,삼천리,5120527432173.0,114302576748.0,121658500696.0
004700,조광피혁,90248381146.0,7225967465.0,12604990949.0
004710,한솔테크닉스,1199483140800.0,33354584118.0,23176851498.0
004720,팜젠사이언스,171286609685.0,10643268036.0,2789765616.0
004770,써니전자,12809512519.0,2576381536.0,4397579372.0
004780,대륙제관,274659400896.0,15817274927.0,11514610974.0
004830,덕성,125453477601.0,8910501328.0,6799978765.0
004840,DRB동일,752688127961.0,21870057763.0,13209672164.0
004870,티웨이홀딩스,5242842500.0,-5220000555.0,-20751192697.0
004890,동일산업,415796640204.0,-4158725047.0,14566572474.0
004910,조광페인트,248020130146.0,2404881602.0,15982987690.0
004920,씨아이테크,47436608009.0,-2049221072.0,-89010303.0
004980,성신양회,1162632731807.0,53239362394.0,45374360177.0
004990,롯데지주,15756975627179.0,340468760521.0,-946077909988.0
005010,휴스틸,723068271123.0,17080221750.0,22312045697.0
005030,부산주공,213030180079.0,7334415211.0,-573106836.0
005070,코스모신소재,569728589077.0,25002358115.0,17647535995.0
005090,SGC에너지,2354993052127.0,189611637907.0,35894883016.0
005110,한창,3089124038.0,-9443656317.0,-18484222632.0
005180,빙그레,1463041258105.0,131275792188.0,103226927609.0
005250,녹십자홀딩스,2204855223217.0,-10716124374.0,-11089572564.0
005290,동진쎄미켐,1408144175958.0,208225729660.0,143484559745.0
005300,롯데칠성음료,4024503304484.0,184926837143.0,60012909167.0
005320,온타이드,265915113091.0,-4346365196.0,-3794212373.0
005360,모나미,133080484318.0,-3813353960.0,-5333431137.0
005390,신성통상,1507869284122.0,121791701728.0,73688142483.0
005430,한국공항,626537271117.0,45009646028.0,40605939549.0
005440,현대지에프홀딩스,7409277127000.0,198099994000.0,791959780000.0
005490,POSCO홀딩스,72688143160111.0,2173573272904.0,947580322052.0
005500,삼진제약,308349934442.0,31637502800.0,39232983400.0
005670,푸드웰,272990916857.0,13926410674.0,10944983833.0
005680,삼영전자공업,162977940986.0,7300356335.0,11112476268.0
005690,파미셀,64851303832.0,4655636703.0,6331277009.0
005720,넥센,3214304005061.0,209664273178.0,158440823943.0
005740,크라운해태홀딩스,1046896219641.0,67578721530.0,43647782339.0
005750,대림바스,281054583692.0,10096692649.0,5709158066.0
005800,신영와코루,196678118757.0,2755794895.0,3902312090.0
005810,풍산홀딩스,449393916995.0,104749837969.0,99951700285.0
005820,원림,82386592601.0,1733512084.0,4837878605.0
005860,한일사료,430978104202.0,3696238401.0,3667164631.0
005870,휴니드테크놀러지스,230800588043.0,9134041295.0,10744253181.0
005880,대한해운,1747186595917.0,328635127660.0,164823503932.0
005960,동부건설,1688369156822.0,-96940269971.0,-107507005059.0
006040,동원산업,8944231939726.0,501319940394.0,113563839180.0
006050,국영지앤엠,75411207520.0,902779810.0,2580101315.0
006060,화승인더스트리,1867733844525.0,118225154489.0,46909086708.0
006090,사조오양,400696837980.0,20898559487.0,12647900196.0
006110,삼아알미늄,251733337646.0,-9590561021.0,-9355451369.0
006120,SK디스커버리,9039602889123.0,172557836004.0,31919087418.0
006140,피제이전자,169298930720.0,10781292288.0,9221466937.0
006200,한국전자홀딩스,294303954603.0,-4125572651.0,-3371469939.0
006260,LS,27544663000000.0,1072943000000.0,391515000000.0
006280,녹십자,1679891941477.0,32107347889.0,-42637064523.0
006340,대원전선,552777321378.0,14338544095.0,6794390393.0
006380,카프로,7072572538.0,-32385863735.0,33187685346.0
006390,한일현대시멘트,513367579551.0,79088668239.0,60044526096.0
006400,삼성SDI,16592248884388.0,363304463263.0,575512415979.0
006490,인스코비,100534212723.0,-3786266549.0,2863841827.0
006570,대림통상,136965965065.0,-3414516400.0,-10885966867.0
006620,동구바이오제약,249274859206.0,12690585871.0,1990759749.0
006650,대한유화,2800102662159.0,-59892625042.0,-8528518983.0
006660,삼성공조,115772504831.0,6481452920.0,14886364613.0
006730,서부T&D,187479112967.0,47986173901.0,64654284400.0
006740,영풍제지,88112890040.0,-13863126414.0,-21928781340.0
006800,미래에셋증권,22242327609027.0,,925470295452.0
006840,AK홀딩스,4488280532801.0,130320128409.0,-16585694879.0
006880,신송홀딩스,164580506815.0,8401885993.0,5495211137.0
006890,태경케미컬,71116461803.0,13705903914.0,12630825085.0
006910,보성파워텍,77062181417.0,4824105984.0,5952224961.0
006920,모헨즈,100477953541.0,2730347492.0,2047974314.0
006980,우성,606198677648.0,8591748464.0,19691475361.0
007070,GS리테일,11626920274913.0,239104876913.0,9791708542.0
007110,일신석재,78727286743.0,3802576947.0,1419223067.0
007120,미래아이앤지,11702648807.0,2013077715.0,-8038192716.0
007160,사조산업,635200660442.0,-9378468076.0,15292243041.0
007210,벽산,643093353897.0,25722925299.0,20560690844.0
007280,한국특강,768777778364.0,10612175190.0,-2916913267.0
007310,오뚜기,3539120882890.0,222014509063.0,137599993733.0
007340,DN오토모티브,3434542268000.0,522916807000.0,318229010000.0
007370,진양제약,113332121347.0,11708434539.0,29694145830.0
007390,네이처셀,32333908156.0,597518893.0,1226158108.0
007460,에이프로젠,150113578970.0,-86806591009.0,-100375665264.0
007530,와이엠,172201380432.0,6107538725.0,5194571032.0
007540,샘표,404955848041.0,5875234279.0,10732118074.0
007590,동방아그로,170248304592.0,14610574702.0,9785798551.0
007610,선도전기,23984030522.0,-5748394178.0,9774539951.0
007660,이수페타시스,836866961285.0,101878836049.0,74034111779.0
007680,대원,277180783733.0,195470402.0,2630758754.0
007690,국도화학,1305775130486.0,25333558032.0,8940950262.0
007700,F&F 홀딩스,1898301562891.0,416366707580.0,321989239159.0
007720,소노스퀘어,133458255008.0,656024469.0,-10357675586.0
007770,한일화학,125281652588.0,-6571296974.0,4134167077.0
007810,코리아써키트,1406956573662.0,-33153617896.0,-129014306648.0
007820,에스엠코어,163228400060.0,7056273197.0,11415261872.0
007860,서연,4498780011654.0,241938199007.0,225729869603.0
007980,TP,1064151435568.0,48931866971.0,22354312028.0
008040,사조동아원,678149244374.0,50021201372.0,24261791036.0
008060,대덕,1267194760967.0,8416757822.0,42964643518.0
008110,대동전자,29025438345.0,4874951054.0,25666601739.0
008250,이건산업,326972782768.0,13791182675.0,-1926394198.0
008260,NI스틸,275274102150.0,37132983882.0,25722065611.0
008290,원풍물산,22721808986.0,-4699113271.0,-3621522906.0
008350,남선알미늄,289539027472.0,4824753722.0,-26725073616.0
008370,원풍,79609134649.0,4547912675.0,7106011150.0
008420,문배철강,140206723395.0,-2130925338.0,6617306057.0
008470,부스타,106182807740.0,231513742.0,1690244491.0
008490,서흥,653264494420.0,33843445254.0,21552927392.0
008500,일정실업,43503261671.0,3324413521.0,3412124664.0
008600,윌비스,217377268077.0,-12537683908.0,-27416248342.0
008700,아남전자,189473465.0,7256370.0,6946614.0
008730,율촌화학,457078095305.0,-18354577060.0,-8530216577.0
008830,대동기어,257057008425.0,4464399985.0,1168268540.0
008870,금비,259456804269.0,12361949538.0,5970442071.0
008930,한미사이언스,1283432295647.0,98867912225.0,56693106363.0
008970,동양철관,250297485190.0,6676989307.0,-19644237286.0
009070,케이씨티시,882147692479.0,38991030847.0,27633970078.0
009140,경인전자,22942422096.0,-1271401075.0,2560127735.0
009150,삼성전기,10294102976435.0,735005856995.0,703215637082.0
009160,SIMPAC,785061758000.0,24452879000.0,27454726000.0
009180,한솔로지스틱스,687030962683.0,16777813390.0,8672221160.0
009190,대양금속,215563338886.0,1889596749.0,-15283580204.0
009200,무림페이퍼,1384380090169.0,89393682541.0,49346227594.0
009240,한샘,1908390760197.0,31229315756.0,151137006442.0
009270,신원,939536833803.0,25317728223.0,5648419882.0
009290,광동제약,1640718849226.0,30097355344.0,41844893500.0
009300,삼아제약,95580725368.0,24466466167.0,22079574395.0
009310,참엔지니어링,64895892513.0,-35837953403.0,-24934146024.0
009320,아진전자부품,143497309408.0,5939589951.0,919231261.0
009420,한올바이오파마,138943698757.0,230474890.0,-1804843479.0
009440,KC그린홀딩스,421050049185.0,-65171150118.0,-4984549580.0
009460,한창제지,294257732833.0,1142467067.0,2639511966.0
009470,삼화전기,233116164397.0,24788845997.0,20673576344.0
009520,포스코엠텍,346628290419.0,1422749362.0,567503575.0
009540,HD한국조선해양,25538577356000.0,1434090492000.0,1454580111000.0
009580,무림P&P,811651367990.0,36472102186.0,22596860341.0
009620,삼보산업,340974508783.0,628510028.0,-22570715111.0
009730,이렘,109831999855.0,-4723456766.0,-14898026363.0
009770,삼정펄프,163884080446.0,4868322824.0,37954518636.0
009780,엠에스씨,189756857111.0,27518337355.0,21763730360.0
009810,플레이그램,268344392135.0,-5099237519.0,-2314274676.0
009830,한화솔루션,12394023649010.0,-300237959946.0,-1368980474463.0
009900,명신산업,1573818204184.0,148119754582.0,129093643417.0
010040,한국내화,416008387892.0,8586286130.0,5505120876.0
010100,한국무브넥스,1567411153543.0,43673714640.0,47440564199.0
010120,엘에스일렉트릭,4551837252467.0,389717122317.0,242237998768.0
010130,고려아연,12052918410249.0,723472208523.0,194781564506.0
010170,대한광통신,152717431829.0,-29704722792.0,-56038066436.0
010240,흥국,128710756347.0,8787500672.0,10550352220.0
010400,우진아이엔에스,137588161973.0,-17859652097.0,-22168838641.0
010420,한솔피엔에스,313649667468.0,3322525681.0,2327779987.0
010580,에스엠벡셀,172548105255.0,5216545654.0,1115369744.0
010600,웰바이오텍,83301323381.0,-2874278574.0,-21375656796.0
010620,HD현대미포,4630048754000.0,88527896000.0,113248354000.0
010640,진양폴리우레탄,54038232041.0,3970306773.0,3163716225.0
010690,화신,1712315816922.0,65310768287.0,53561268072.0
010770,평화홀딩스,835189547389.0,28811212893.0,2433710312.0
010780,아이에스동서,1514572538167.0,169672413030.0,-160188124268.0
010820,퍼스텍,207273257566.0,4348353305.0,10919360117.0
010950,S-Oil,36637031000000.0,422177000000.0,-193042000000.0
010960,삼호개발,401776583229.0,1172393105.0,5259356368.0
011000,진원생명과학,35720098849.0,-43039113456.0,-48536607370.0
011040,경동제약,193936297352.0,2623604977.0,5447789290.0
011080,형지I&C,56747470247.0,-5018507855.0,-3867131503.0
011150,CJ씨푸드,193717170281.0,4357856052.0,5019262467.0
011170,롯데케미칼,20430375565357.0,-894081004428.0,-1825555752135.0
011200,HMM,11700224000000.0,3512847000000.0,3782129000000.0
011210,현대위아,8180886000000.0,218810000000.0,129472000000.0
