ticker,corp_name,유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
066790,씨씨에스,883.61,173.0,6.89,10.22,2379.0,93.15
222080,씨아이에스,247.768,828.0,33.12,53.282,1466.0,57.38
004920,씨아이테크,110.924,1786.0,71.49,67.597,1265.0,49.51
352480,씨앤씨인터내셔널,179.38,1139.0,45.57,43.386,1622.0,63.49
264660,씨앤지하이테크,224.284,917.0,36.68,56.764,1414.0,55.35
352700,씨앤투스,1014.991,141.0,5.61,5.308,2498.0,97.81
458870,씨어스테크놀로지,423.784,462.0,18.46,31.239,1858.0,72.74
297090,씨에스베어링,158.989,1313.0,52.54,57.751,1394.0,54.56
112610,씨에스윈드,123.465,1656.0,66.28,200.724,323.0,12.61
900120,씨엑스아이,7303.44,2.0,0.04,0.566,2543.0,99.57
359090,씨엔알리서치,125.322,1637.0,65.52,81.769,1081.0,42.3
115530,씨엔플러스,111.811,1776.0,71.09,421.521,111.0,4.31
115480,씨유메디칼,360.705,559.0,22.35,74.64,1185.0,46.38
376290,씨유테크,734.693,225.0,8.97,19.548,2142.0,83.86
189330,씨이랩,384.362,521.0,20.82,39.543,1702.0,66.63
096530,씨젠,462.25,409.0,16.34,22.803,2042.0,79.95
480370,씨케이솔루션,169.013,1213.0,48.54,106.76,823.0,32.2
101240,씨큐브,174.096,1174.0,46.98,30.875,1863.0,72.93
060590,씨티씨바이오,111.109,1782.0,71.33,120.752,710.0,27.77
308170,씨티알모빌리티,59.391,2324.0,93.03,314.054,151.0,5.88
260930,씨티케이,239.512,866.0,34.64,22.145,2069.0,81.0
413630,씨피시스템,1070.676,129.0,5.13,6.42,2472.0,96.79
013990,아가방컴퍼니,273.432,737.0,29.48,33.55,1814.0,71.01
123860,아나패스,242.984,851.0,34.04,61.773,1345.0,52.64
025980,아난티,42.002,2414.0,96.64,128.07,656.0,25.66
008700,아남전자,180.027,1133.0,45.33,66.871,1275.0,49.9
125210,아모그린텍,103.45,1868.0,74.77,146.999,542.0,21.19
090430,아모레퍼시픽,158.328,1318.0,52.74,27.366,1934.0,75.71
002790,아모레퍼시픽홀딩스,226.981,906.0,36.24,22.152,2068.0,80.96
357580,아모센스,141.888,1464.0,58.59,198.965,330.0,12.89
052710,아모텍,95.492,1952.0,78.13,138.446,596.0,23.31
074430,아미노로직스,1071.344,128.0,5.09,9.854,2390.0,93.58
092040,아미코젠,88.51,2031.0,81.3,139.02,592.0,23.15
083930,아바코,161.499,1287.0,51.5,94.206,928.0,36.31
149950,아바텍,714.276,241.0,9.61,6.517,2468.0,96.63
036010,아비코전자,340.216,591.0,23.63,32.949,1830.0,71.64
002030,아세아,94.922,1961.0,78.49,64.256,1305.0,51.08
183190,아세아시멘트,58.267,2332.0,93.35,98.424,892.0,34.9
002310,아세아제지,258.907,788.0,31.52,22.795,2044.0,80.02
050860,아세아텍,227.526,903.0,36.12,49.837,1519.0,59.46
012170,아센디오,202.274,1011.0,40.45,20.863,2107.0,82.49
136410,아셈스,142.571,1454.0,58.19,59.943,1361.0,53.27
246720,아스타,361.551,556.0,22.23,106.368,828.0,32.39
450950,아스테라시스,395.008,500.0,19.98,25.924,1968.0,77.05
067390,아스트,490.841,365.0,14.58,89.798,972.0,38.03
159010,아스플로,137.017,1498.0,59.95,152.897,515.0,20.13
127710,아시아경제,69.799,2238.0,89.59,307.892,160.0,6.23
267850,아시아나IDT,294.704,695.0,27.79,30.347,1878.0,73.52
020560,아시아나항공,56.285,2341.0,93.71,1240.804,17.0,0.63
154030,아시아종묘,151.339,1382.0,55.31,80.795,1096.0,42.89
227610,아우딘퓨쳐스,120.456,1686.0,67.48,149.484,531.0,20.76
143160,아이디스,301.699,677.0,27.07,32.836,1832.0,71.72
054800,아이디스홀딩스,269.519,752.0,30.08,37.427,1742.0,68.19
332370,아이디피,1136.577,119.0,4.73,9.145,2412.0,94.44
122900,아이마켓코리아,109.819,1797.0,71.93,208.648,304.0,11.87
339950,아이비김영,77.326,2171.0,86.9,86.245,1017.0,39.8
469750,아이비젼웍스,491.905,363.0,14.5,37.09,1747.0,68.39
460470,아이빔테크놀로지,1815.717,46.0,1.8,11.55,2341.0,91.66
099190,아이센스,241.698,859.0,34.36,72.274,1216.0,47.59
461300,아이스크림미디어,434.983,452.0,18.06,21.612,2084.0,81.59
289010,아이스크림에듀,121.353,1678.0,67.16,99.635,883.0,34.55
214430,아이쓰리시스템,384.348,522.0,20.87,38.931,1708.0,66.86
040910,아이씨디,153.369,1362.0,54.51,97.037,907.0,35.49
368600,아이씨에이치,76.412,2183.0,87.38,153.442,510.0,19.94
456010,아이씨티케이,2988.124,13.0,0.48,6.465,2470.0,96.71
052860,아이앤씨,121.044,1681.0,67.28,68.268,1256.0,49.16
464500,아이언디바이스,1323.183,94.0,3.72,17.929,2185.0,85.55
010780,아이에스동서,132.244,1550.0,62.03,128.231,655.0,25.62
212710,아이에스티이,69.356,2242.0,89.75,494.745,92.0,3.56
038880,아이에이,48.31,2389.0,95.63,82.069,1080.0,42.26
003560,아이에이치큐,143.008,1451.0,58.07,41.118,1663.0,65.1
307180,아이엘,49.804,2382.0,95.35,677.903,65.0,2.51
101390,아이엠,49.376,2386.0,95.51,423.952,110.0,4.27
461030,아이엠비디엑스,2596.906,23.0,0.88,4.909,2508.0,98.2
451220,아이엠티,1141.046,116.0,4.61,90.877,959.0,37.52
