ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%),ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%),유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
8290,원풍물산,-20.882,2267.0,90.42,123.388,277.0,10.85,-23.769,2187.0,86.0,-20.68,2180.0,87.13,68.838,2245.0,89.87,174.405,412.0,16.1
101160,월덱스,6.493,1024.0,40.82,8.447,964.0,37.87,23.779,106.0,4.13,22.92,86.0,3.4,435.486,451.0,18.02,27.419,1932.0,75.64
336060,웨이버스,15.607,636.0,25.34,-66.845,1945.0,76.45,8.747,644.0,25.3,2.98,1233.0,49.26,207.801,983.0,39.33,38.731,1714.0,67.1
95270,웨이브일렉트로,0.077,1516.0,60.45,-21.219,1432.0,56.27,-11.894,2012.0,79.11,2.37,1328.0,53.06,217.377,946.0,37.85,71.13,1227.0,48.02
289930,웨이비스,74.046,118.0,4.67,-48.967,1780.0,69.96,-21.937,2165.0,85.13,-16.53,2136.0,85.37,165.698,1244.0,49.78,99.332,886.0,34.67
10600,웰바이오텍,39.425,254.0,10.1,-73.607,1995.0,78.41,-74.475,2454.0,96.5,-3.45,1844.0,73.69,223.464,921.0,36.84,58.282,1385.0,54.21
65950,웰크론,-22.721,2292.0,91.42,-55.21,1846.0,72.55,-10.099,1977.0,77.73,0.66,1583.0,63.25,90.565,2008.0,80.38,243.768,247.0,9.64
76080,웰크론한텍,-21.403,2272.0,90.62,59.068,468.0,18.36,-11.034,2000.0,78.64,0.74,1569.0,62.69,102.44,1883.0,75.37,198.367,331.0,12.93
43590,웰킵스하이텍,47.5,206.0,8.18,-3496.02,2535.0,99.65,-24.34,2195.0,86.31,-33.36,2259.0,90.28,212.502,968.0,38.73,51.694,1482.0,58.01
196700,웹스,-5.957,1866.0,74.42,20.355,776.0,30.48,3.355,1256.0,49.37,9.06,517.0,20.63,169.839,1204.0,48.18,90.808,961.0,37.6
69080,웹젠,9.403,873.0,34.8,9.318,939.0,36.89,8.754,642.0,25.22,25.4,72.0,2.84,703.055,245.0,9.77,11.639,2340.0,91.62
53580,웹케시,0.81,1454.0,57.98,1.244,1102.0,43.3,6.988,838.0,32.93,18.72,153.0,6.08,171.352,1195.0,47.82,23.018,2036.0,79.71
479960,위너스,-4.625,1797.0,71.67,-15.37,1349.0,53.01,9.821,563.0,22.11,11.1,398.0,15.87,331.651,609.0,24.35,34.462,1793.0,70.19
71460,위니아,-70.681,2485.0,99.12,-67.523,1952.0,76.72,0.0,1603.0,63.02,,,,6.198,2495.0,99.88,-122.173,2545.0,99.65
377460,위니아에이드,-57.601,2462.0,98.2,-99.126,2126.0,83.56,-116.151,2496.0,98.15,-0.8,1718.0,68.65,26.407,2463.0,98.6,815.69,49.0,1.88
44340,위닉스,-6.422,1891.0,75.42,-190.117,2339.0,91.94,-23.452,2184.0,85.88,-1.67,1761.0,70.37,117.062,1724.0,69.0,112.658,775.0,30.32
330350,위더스제약,28.211,368.0,14.64,-28.432,1551.0,60.95,5.218,1054.0,41.42,5.51,878.0,35.07,180.25,1132.0,45.29,44.644,1600.0,62.63
348350,위드텍,-11.996,2066.0,82.4,-60.16,1888.0,74.2,6.008,958.0,37.65,2.21,1360.0,54.34,478.1,383.0,15.3,16.41,2212.0,86.6
112040,위메이드,17.616,591.0,23.54,-106.395,2160.0,84.9,29.468,55.0,2.12,0.99,1532.0,61.22,56.121,2342.0,93.75,125.47,671.0,26.24
101730,위메이드맥스,7.493,969.0,38.63,-315.03,2421.0,95.16,-5.371,1847.0,72.62,-10.79,2041.0,81.57,297.83,689.0,27.55,19.187,2151.0,84.21
123420,위메이드플레이,-1.041,1586.0,63.25,-341.609,2430.0,95.52,10.132,547.0,21.48,0.88,1546.0,61.78,43.408,2408.0,96.4,58.321,1384.0,54.17
65370,위세아이텍,26.799,391.0,15.56,-132.34,2241.0,88.08,-1.288,1685.0,66.25,2.65,1285.0,51.34,86.509,2055.0,82.26,133.078,632.0,24.72
38620,위즈코프,86.658,97.0,3.83,330.805,111.0,4.33,1.233,1494.0,58.73,2.67,1279.0,51.1,233.262,886.0,35.44,24.925,1991.0,77.95
299900,위지윅스튜디오,-45.408,2441.0,97.37,-41.739,1707.0,67.09,-29.553,2254.0,88.63,-14.69,2099.0,83.89,76.911,2175.0,87.06,69.073,1247.0,48.81
36090,위지트,915.432,8.0,0.28,278.85,131.0,5.11,0.661,1547.0,60.82,3.87,1089.0,43.5,197.064,1044.0,41.77,74.543,1188.0,46.49
459100,위츠,-8.811,1967.0,78.45,-78.779,2024.0,79.55,4.66,1116.0,43.86,2.4,1322.0,52.82,124.443,1646.0,65.88,139.586,590.0,23.07
136540,윈스테크넷,-5.049,1820.0,72.59,-11.833,1300.0,51.08,10.683,504.0,19.79,20.06,130.0,5.16,654.85,271.0,10.81,12.802,2313.0,90.56
97800,윈팩,-13.994,2121.0,84.6,1.816,1090.0,42.82,-53.144,2400.0,94.37,-31.39,2250.0,89.92,33.113,2444.0,97.84,116.312,742.0,29.02
192390,윈하이텍,-27.068,2335.0,93.14,-39.917,1698.0,66.73,10.59,511.0,20.06,9.84,471.0,18.79,118.463,1710.0,68.44,83.531,1051.0,41.13
8600,윌비스,0.582,1477.0,58.9,199.745,172.0,6.72,-28.275,2242.0,88.16,-5.77,1938.0,77.45,106.658,1831.0,73.29,240.245,254.0,9.91
335870,윙스풋,-9.875,1999.0,79.73,-52.472,1813.0,71.25,3.921,1195.0,46.97,4.07,1060.0,42.34,257.25,795.0,31.8,55.258,1434.0,56.13
900340,윙입푸드,9.626,863.0,34.4,-18.34,1398.0,54.94,7.043,831.0,32.65,10.34,432.0,17.23,340.937,588.0,23.51,24.552,2005.0,78.5
33270,유나이티드,3.5,1244.0,49.6,2.427,1075.0,42.23,8.269,694.0,27.26,19.5,139.0,5.52,507.841,351.0,14.02,16.672,2205.0,86.33
14830,유니드,-1.948,1643.0,65.52,197.624,173.0,6.76,7.96,736.0,28.91,8.59,550.0,21.95,258.198,790.0,31.6,34.827,1788.0,70.0
446070,유니드비티플러스,15.468,641.0,25.54,-175.013,2322.0,91.27,3.309,1263.0,49.65,1.57,1443.0,57.66,441.984,439.0,17.54,20.872,2106.0,82.45
36200,유니셈,-6.01,1870.0,74.58,-42.637,1719.0,67.56,7.005,836.0,32.85,4.57,990.0,39.54,524.073,338.0,13.5,15.222,2244.0,87.86
18000,유니슨,-76.115,2492.0,99.4,-36.064,1653.0,64.96,-36.027,2318.0,91.15,-48.62,2326.0,92.96,24.857,2467.0,98.76,276.03,196.0,7.64
910,유니온,-2.889,1696.0,67.64,475.001,73.0,2.83,-49.623,2390.0,93.98,-5.25,1921.0,76.77,77.775,2166.0,86.7,200.627,325.0,12.69
