ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%)
317830,에스피시스템스,17.467,594.0,23.66,821.691,39.0,1.49
058610,에스피지,-1.348,1604.0,63.97,-22.759,1449.0,56.94
043340,에쎈테크,14.134,676.0,26.94,-94.693,2102.0,82.62
023960,에쓰씨엔지니어링,32.282,315.0,12.53,567.714,59.0,2.28
163280,에어레인,49.902,191.0,7.58,679.394,50.0,1.93
298690,에어부산,13.063,721.0,28.73,-8.434,1260.0,49.51
054630,에이디칩스,-60.243,2466.0,98.36,64.168,442.0,17.34
200710,에이디테크놀로지,6.362,1038.0,41.38,-2.606,1159.0,45.54
475580,에이럭스,0.358,1499.0,59.78,-40.246,1700.0,66.81
096690,에이루트,10.23,836.0,33.32,194.336,179.0,7.0
140910,에이리츠,178.747,39.0,1.52,-6.396,1228.0,48.25
078520,에이블씨엔씨,-3.525,1735.0,69.19,72.72,414.0,16.24
298380,에이비엘바이오,-49.04,2450.0,97.73,2168.824,11.0,0.39
203400,에이비온,-40.385,2422.0,96.61,9.004,948.0,37.24
195990,에이비프로바이오,24.779,422.0,16.8,15.887,846.0,33.23
003800,에이스침대,6.389,1037.0,41.34,16.14,842.0,33.07
088800,에이스테크,3.59,1235.0,49.24,-49.994,1790.0,70.35
241840,에이스토리,-73.993,2490.0,99.32,-150.465,2280.0,89.62
453860,에이에스텍,-10.072,2006.0,80.01,-5.096,1202.0,47.23
312610,에이에프더블류,130.78,54.0,2.11,58.616,472.0,18.52
015260,에이엔피,-19.457,2243.0,89.47,228.344,149.0,5.82
172670,에이엘티,-23.11,2297.0,91.62,-349.374,2432.0,95.6
481070,에이유브랜즈,6.48,1025.0,40.86,-23.35,1463.0,57.49
445090,에이직랜드,26.841,390.0,15.52,-539.609,2473.0,97.21
295310,에이치브이엠,8.884,900.0,35.87,-282.105,2403.0,94.46
072990,에이치시티,27.384,384.0,15.28,39.863,593.0,23.28
044990,에이치엔에스하이텍,-5.452,1838.0,73.3,-4.201,1192.0,46.83
239610,에이치엘사이언스,-30.966,2370.0,94.53,110.109,306.0,11.99
036170,에이치엠넥스,4.401,1171.0,46.69,2106.487,12.0,0.43
148930,에이치와이티씨,-20.447,2256.0,89.98,-88.127,2074.0,81.52
376270,에이치이엠파마,181.947,36.0,1.4,-34.686,1637.0,64.33
044780,에이치케이,-18.941,2235.0,89.15,-413.482,2447.0,96.19
357230,에이치피오,4.657,1159.0,46.21,-63.768,1918.0,75.38
355690,에이텀,-19.737,2247.0,89.62,-29.955,1575.0,61.9
071670,에이테크솔루션,7.83,950.0,37.87,-87.496,2073.0,81.48
045660,에이텍,1148.099,5.0,0.16,-305.263,2418.0,95.05
224110,에이텍모빌리티,19.128,539.0,21.47,5.436,1012.0,39.76
021080,에이티넘인베스트,-61.908,2469.0,98.48,-45.505,1750.0,68.78
200470,에이팩트,-7.488,1925.0,76.78,-5.89,1220.0,47.94
262260,에이프로,-15.171,2153.0,85.87,-78.334,2020.0,79.39
007460,에이프로젠,-0.308,1547.0,61.69,-2.318,1155.0,45.38
003060,에이프로젠바이오로직스,-22.876,2294.0,91.5,-8.098,1253.0,49.23
397030,에이프릴바이오,,,,-226.002,2372.0,93.24
244920,에이플러스에셋,47.001,208.0,8.26,151.342,233.0,9.12
278470,에이피알,37.98,266.0,10.57,17.767,817.0,32.09
230240,에치에프알,-4.318,1777.0,70.87,140.392,246.0,9.63
159910,에코글로우,7.821,952.0,37.95,-2.853,1165.0,45.77
230360,에코마케팅,1.918,1346.0,53.67,-14.754,1337.0,52.54
038870,에코바이오,14.12,677.0,26.98,-9.244,1270.0,49.9
097780,에코볼트,24.947,419.0,16.68,13.397,870.0,34.17
448280,에코아이,-60.246,2467.0,98.4,-98.909,2125.0,83.52
101360,에코앤드림,103.869,77.0,3.03,-116.417,2197.0,86.35
128540,에코캡,1.933,1343.0,53.55,396.027,91.0,3.54
086520,에코프로,-56.918,2461.0,98.16,-198.278,2349.0,92.33
450080,에코프로머티,-68.521,2482.0,99.0,-837.736,2498.0,98.19
247540,에코프로비엠,-59.906,2464.0,98.28,-121.861,2215.0,87.06
383310,에코프로에이치엔,2.426,1313.0,52.35,-42.016,1711.0,67.24
038110,에코플라스틱,4.374,1175.0,46.85,-54.586,1837.0,72.2
073540,에프알텍,19.973,522.0,20.79,-262.438,2394.0,94.1
064850,에프앤가이드,6.844,997.0,39.74,26.018,713.0,28.0
036810,에프에스티,20.141,518.0,20.63,-121.213,2213.0,86.98
173940,에프엔씨엔터,-4.278,1772.0,70.67,-47.787,1773.0,69.68
083500,에프엔에스테크,127.555,57.0,2.23,285.851,125.0,4.88
054940,엑사이엔씨,16.546,611.0,24.34,149.633,236.0,9.24
950130,엑세스바이오,-69.128,2484.0,99.08,-118.751,2208.0,86.79
373110,엑셀세라퓨틱스,72.11,122.0,4.83,7.168,985.0,38.69
205100,엑셈,13.636,694.0,27.65,79.817,389.0,15.26
356680,엑스게이트,0.923,1447.0,57.7,-15.045,1344.0,52.81
070300,엑스큐어,-69.084,2483.0,99.04,1742.088,18.0,0.67
317770,엑스페릭스,23.834,440.0,17.52,-22.371,1445.0,56.78
373200,엑스플러스,6.654,1010.0,40.26,5.059,1022.0,40.15
069920,엑시온그룹,3.835,1215.0,48.44,-9.131,1269.0,49.86
092870,엑시콘,-61.588,2468.0,98.44,-1185.391,2510.0,98.66
019490,엑시큐어하이트론,19.541,531.0,21.15,-3.37,1175.0,46.17
317870,엔바이오니아,-2.939,1700.0,67.8,927.521,32.0,1.22
067570,엔브이에이치코리아,15.746,628.0,25.02,7.415,979.0,38.46
236810,엔비티,-1.44,1612.0,64.29,72.739,413.0,16.2
333620,엔시스,22.787,465.0,18.52,463.647,74.0,2.87
101400,엔시트론,1.233,1419.0,56.58,-684.544,2484.0,97.64
036570,엔씨소프트,-11.333,2047.0,81.64,-179.555,2328.0,91.51
078860,엔에스이엔엠,16.088,622.0,24.78,15.528,848.0,33.31
181710,엔에이치엔,8.217,931.0,37.11,-158.67,2296.0,90.25
265740,엔에프씨,-6.166,1879.0,74.94,-274.26,2399.0,94.3
354200,엔젠바이오,30.798,337.0,13.41,19.74,786.0,30.87
455900,엔젤로보틱스,-18.173,2217.0,88.43,66.884,435.0,17.07
419080,엔젯,-48.148,2447.0,97.61,208.452,168.0,6.57
208860,엔지스테크널러지,126.963,59.0,2.31,-159.825,2299.0,90.37
183490,엔지켐생명과학,1.761,1358.0,54.15,-8.095,1252.0,49.19
085310,엔케이,21.195,494.0,19.67,336.991,109.0,4.25
182400,엔케이맥스,-18.285,2223.0,88.67,-92.463,2094.0,82.3
348370,엔켐,-13.888,2119.0,84.52,-2244.053,2529.0,99.41
069410,엔텔스,6.666,1007.0,40.14,-92.445,2093.0,82.27
227950,엔투텍,4.288,1182.0,47.13,6.222,1004.0,39.44
291230,엔피,-16.34,2183.0,87.07,12.185,894.0,35.12
198080,엔피디,33.61,308.0,12.25,237.215,144.0,5.62
004250,엔피씨,-9.918,2001.0,79.81,-64.499,1927.0,75.74
048830,엔피케이,2.505,1309.0,52.19,-133.725,2245.0,88.24
096870,엘디티,12.347,744.0,29.65,139.542,247.0,9.67
900140,엘브이엠씨,8.658,907.0,36.15,-200.573,2355.0,92.57
290650,엘앤씨바이오,9.354,876.0,34.92,-68.73,1964.0,77.19
066970,엘앤에프,-58.927,2463.0,98.24,151.324,234.0,9.16
156100,엘앤케이바이오,20.69,506.0,20.15,51.291,511.0,20.06
010120,엘에스일렉트릭,7.596,964.0,38.43,19.958,783.0,30.75
073110,엘엠에스,-10.63,2027.0,80.85,-57.341,1869.0,73.46
083310,엘오티베큠,-43.773,2432.0,97.01,-106.212,2158.0,84.82
037950,엘컴텍,1.322,1412.0,56.3,67.234,434.0,17.03
489500,엘케이켐,64.151,137.0,5.43,80.675,385.0,15.1
170920,엘티씨,144.333,49.0,1.92,-250.725,2386.0,93.79
058630,엠게임,2.195,1328.0,52.95,-39.765,1695.0,66.61
226590,엠디바이스,390.375,15.0,0.56,-205.004,2360.0,92.76
058970,엠로,25.774,407.0,16.2,84.577,369.0,14.47
169330,엠브레인,-2.245,1654.0,65.96,-64.448,1926.0,75.7
097520,엠씨넥스,13.359,704.0,28.05,143.547,244.0,9.56
373170,엠아이큐브솔루션,22.707,467.0,18.6,-160.916,2300.0,90.41
179290,엠아이텍,15.879,626.0,24.94,24.956,732.0,28.75
484870,엠앤씨솔루션,54.155,173.0,6.86,68.594,423.0,16.59
009780,엠에스씨,0.375,1498.0,59.74,16.096,844.0,33.15
123040,엠에스오토텍,-14.615,2138.0,85.28,-44.922,1739.0,68.34
432980,엠에프씨,19.036,541.0,21.55,102.906,327.0,12.82
413390,엠오티,15.092,653.0,26.02,50.99,517.0,20.29
032790,엠젠솔루션,106.176,75.0,2.95,-18.511,1399.0,54.97
033160,엠케이전자,4.801,1148.0,45.77,20.721,772.0,30.32
347890,엠투아이,11.425,772.0,30.77,0.503,1113.0,43.73
033310,엠투엔,18.462,564.0,22.47,16.639,834.0,32.76
259630,엠플러스,-62.14,2470.0,98.52,-57.741,1872.0,73.57
105550,엣지파운드리,0.695,1468.0,58.54,4.873,1025.0,40.27
060850,영림원소프트랩,12.687,734.0,29.25,-23.158,1457.0,57.26
014440,영보화학,30.226,341.0,13.57,179.151,202.0,7.9
143540,영우디에스피,23.531,447.0,17.8,-55.165,1844.0,72.47
111770,영원무역,-2.401,1665.0,66.4,-50.47,1795.0,70.55
009970,영원무역홀딩스,-1.135,1593.0,63.53,-40.745,1702.0,66.89
003520,영진약품,7.296,976.0,38.91,179.785,201.0,7.86
000670,영풍,-25.901,2326.0,92.78,-5.365,1209.0,47.5
006740,영풍제지,6.716,1005.0,40.06,363.265,102.0,3.97
012280,영화금속,3.211,1257.0,50.12,5.156,1019.0,40.03
265560,영화테크,46.067,214.0,8.5,206.924,169.0,6.61
012160,영흥,-3.448,1734.0,69.15,162.962,223.0,8.73
036000,예림당,-17.236,2201.0,87.79,78.241,395.0,15.49
250930,예선테크,-1.139,1594.0,63.57,-63.18,1912.0,75.15
053280,예스24,2.135,1332.0,53.11,125.55,271.0,10.62
122640,예스티,25.42,410.0,16.32,-2839.921,2531.0,99.49
900300,오가닉티코스메틱,-9.81,1992.0,79.45,-15.34,1348.0,52.97
045060,오공,2.892,1286.0,51.28,-15.111,1345.0,52.85
192410,오늘이엔엠,-25.385,2320.0,92.54,-23.508,1464.0,57.53
080520,오디텍,5.828,1074.0,42.82,49.584,522.0,20.49
007310,오뚜기,2.448,1312.0,52.31,-12.899,1316.0,51.71
039830,오로라,18.551,559.0,22.27,8.936,949.0,37.28
322310,오로스테크놀로지,34.884,296.0,11.77,156.712,227.0,8.89
046120,오르비텍,3.921,1211.0,48.28,-115.905,2194.0,86.24
475830,오름테라퓨틱,-84.562,2496.0,99.56,-108.718,2170.0,85.29
014940,오리엔탈정공,31.595,322.0,12.81,94.835,343.0,13.45
002630,오리엔트바이오,-2.824,1692.0,67.48,-144.462,2268.0,89.15
065500,오리엔트정공,6.508,1022.0,40.74,-38.204,1680.0,66.02
271560,오리온,6.592,1016.0,40.5,10.398,921.0,36.18
001800,오리온홀딩스,8.174,934.0,37.23,24.855,735.0,28.86
010470,오리콤,-1.69,1624.0,64.76,-1.392,1139.0,44.75
417860,오브젠,-10.506,2023.0,80.69,-28.825,1559.0,61.27
352910,오비고,-4.328,1779.0,70.95,402.044,88.0,3.42
