ticker,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
083660,가보자(4회),한번먹어보자(2회),제닉도(2회),투경(1회),하이퍼코퍼레이션(1회),진짜(1회),주포가(1회),빙다리(1회),핫바지네(1회),브릿지(1회),바이오(1회),스텝바이스텝(1회),조금씩조금씩(1회),기대해봅니다(1회),에라이(1회),제닉처럼(1회),소리(1회),소문없이(1회),제발(1회),만원(1회)
012030,마감(2회),가자(2회),놓자(2회),꽉잡아(1회),상간다(1회),거래량만(1회),터지고(1회),음봉(1회),급락이다(1회),배당(1회),전문경영인(1회),도요타경영시스템(1회),도입이라(1회),지주사다(1회),오르는(1회),장세(1회),저가주(1회),물량(1회),https(1회),blog(1회)
016610,증권(2회),시디즈(2회),상갈듯(2회),,,,,,,,,,,,,,,,,
000990,상법(2회),개정(2회),타켓(2회),순위(2회),실적좋다해도(2회),반도체(2회),긍정적(2회),경영권분쟁(2회),실적도(2회),남호가(2회),이만희도(2회),1순위(2회),2조(2회),반도(2회),김태현의(1회),정치쇼(1회),부동산(1회),대출(1회),주가(1회),물렸다(1회)
060900,시디즈(2회),무증발표(2회),DGP(2회),납입하명(1회),손애(1회),장을지짐(1회),10억(1회),,,,,,,,,,,,,
000300,,,,,,,,,,,,,,,,,,,,
025440,테슬라(4회),자율주행(3회),머스크는(3회),테슬라의(3회),테슬라는(3회),억대만년적자회사도(2회),모델(2회),차량이(2회),고객의(2회),아무도(2회),스스로(2회),장학금(2회),개인피빨아서(2회),인도(2회),시총(1회),사고(1회),종목들(1회),주가는(1회),실적보다(1회),기대감으로(1회)
015590,법적(17회),대주주(17회),횡령(10회),절차적(10회),새로운(9회),정당성(9회),주식(8회),사의(7회),가처분(7회),주주모임(7회),분쟁의(6회),이사(6회),상장적격성(6회),경영(6회),의결권(6회),전략적(6회),아마도(6회),개선기간(6회),사가(5회),문제가(5회)
000210,글삭(1회),원이라매(1회),어디갔노(1회),님어디가셨어요(1회),와서(1회),언제빼야하는지(1회),올리셔야죠(1회),malz(1회),45800원(1회),450원이라매(1회),,,,,,,,,,
375500,미국(4회),하이닉스(4회),신용으로(4회),에너지(3회),상장(3회),만원(3회),외인(3회),실적(3회),적극적(3회),진짜(3회),목표가도(2회),움직임도(2회),공여율(2회),현건(2회),예정소형(2회),원전(2회),아우성(2회),주식(2회),조정은(2회),손절(2회)
068790,횡령(2회),배임도(2회),회계제도(2회),무상증자해라(1회),자켜라(1회),약올리게(1회),속인거라고(1회),허허(1회),된장(1회),천원(1회),대마불사제(1회),상폐(1회),수익나오고(1회),있고거래정지(1회),배임이(1회),내부회계부적절입니다(1회),수익나오면(1회),오스템일플란트(1회),실적공시(1회),9천원(1회)
007340,간답니다세제개혁도(2회),주가도(2회),가두리고(2회),배당락(2회),속보(1회),국힘상법개정(1회),패키지(1회),상법(1회),지주사들(1회),공시(1회),예감이(1회),비과세(1회),중간배당발표다(1회),성투(1회),찬성(1회),예감(1회),담으세요성투(1회),개정으로(1회),찬성으로(1회),담으세요성(1회)
004840,이주식에게도(2회),김세연이가(1회),희망(1회),,,,,,,,,,,,,,,,,
241520,삼성(2회),세력(2회),견적(2회),인수(1회),뉴스(1회),넥스트레이드(1회),알제(1회),잘컸어(1회),동해번쩍(1회),서해번쩍(1회),우상향(1회),간다(1회),넥스트(1회),편입(1회),떨어질까(1회),주식(1회),하락(1회),만원(1회),넘긴다(1회),외인자금(1회)
155660,알바놈들만(1회),득실거리네상법개정이고(1회),나발이고(1회),골로(1회),가려나(1회),이름부터(1회),바꿔라(1회),이름이(1회),원리금상환비율이냐(1회),상관없는(1회),집값(1회),뉴스로(1회),도배되네(1회),뉴스도(2회),,,,,,
017860,진짜(5회),단석(5회),주가관리는(5회),안하면서(5회),지옥에서(4회),관리하는(4회),회사(3회),만원(3회),신용(3회),승욱이(3회),다시(3회),종토방은(3회),분기(2회),가동률(2회),상장(2회),삼류찌라시급도(2회),홍보성(2회),위기를(2회),기회로(2회),월봉(2회)
180400,속지마라상폐확률(2회),시디즈(2회),무증발표(2회),부질(2회),짓거리(2회),하나라도(2회),사자(2회),실어주자(2회),DXVX(2회),뻔하다(1회),개월뒤상폐안당할거라고(1회),찬티질했던놈들설거지하고(1회),다튀어있고(1회),상장폐지(1회),공시뜬다(1회),믿지마라(1회),생각지도못한(1회),변수(1회),단기(1회),저점(1회)
