ticker,corp_name,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
060900,DGP,태양광(10),신재생에너지(7),에너지(6),거래일(5),전국(4),프로젝트(3),시장(3),전력(3),지붕형(3),자동차부품(3),금형(3),태양광에너지(2),,,,,,,,
000300,DH오토넥스,자동차(7),미래(5),용기(4),차량(3),모빌리티(3),자율주행(3),에너지(2),초저온(2),액체(2),수소(2),기술(2),,,,,,,,,
290120,DH오토리드,코스닥(3),분석(3),데이터(3),신규(2),공모주(2),고객(2),맞춤형(2),개별기준(2),공모가(2),희망(2),빅데이터(2),서비스(2),자동차(2),보안(2),,,,,,
025440,DH오토웨어,팁스(14),기술(7),웰컴(6),정우주(6),감성(6),인지(6),눈치(5),에이전트(5),인디제이(4),정보(4),멀티모달(4),차량용(4),비서(4),지역(3),사진(3),초개인화(3),,,,
000210,DL,미국(92),시장(76),사업(74),실적(60),개선(58),대비(52),기준(45),단지(44),가능성(41),확대(35),환자(35),,,,,,,,,
375500,DL이앤씨,미국(88),사업(83),시장(72),실적(61),대비(52),수주(34),울산(30),우선주(29),,,,,,,,,,,,
068790,DMS,디스플레이장비(13),상장기업(13),브랜드(12),빅데이터(10),브랜드평판지수(10),클래시스(8),미용의료기기(8),자진(8),브랜드평판(6),참여지수(6),미디어지수(6),소통지수(6),커뮤니티지수(6),시장지수(6),비올(5),공개매수(5),덕산네오룩스(5),사회공헌지수(5),지분(4),
007340,DN오토모티브,실적(5),알루미늄(4),동아대(3),지역(3),글로벌(3),전기차(3),상호(2),산업체(2),경쟁력(2),부산(2),인사(2),,,,,,,,,
004840,DRB동일,플래티넘(4),평가(3),환경(3),인권(3),윤리(3),협력사(3),프로그램(3),노동(2),지속가능조달(2),관리(2),경영(2),친환경(2),에너지(2),교육(2),메달(1),이미지(1),기관(1),,,
241520,DSC인베스트먼트,벤처펀드(42),규모(26),펀딩(17),펀드(13),하반기(12),벤처조합(12),회수(10),대규모(9),,,,,,,,,,,,
155660,DSR,대출(854),스트레스(709),서울(375),수도권(328),주담대(295),가계대출(285),규제(252),금리(229),부동산(217),가계부채(208),한도(175),총부채원리금상환비율(170),,,,,,,,
017860,DS단석,배터리(7),사업(6),베트남(3),미래(3),전기차(3),바이오디젤(3),원료(3),친환경(2),자원순환(2),,,,,,,,,,,
180400,DXVX,백신(12),개발(10),신약(6),치료(4),치료제(4),코로나(3),희귀질환(3),질환(3),미국(3),플랫폼(3),,,,,,,,,,
092780,DYP,임원(25),평균(11),연봉(9),미등기임원(5),인건비(5),대상(4),보수(4),자동차(3),현대차(3),작년(3),기준(3),,,,,,,,,
017940,E1,가격(89),전달(37),프로판(46),부탄(34),연속(19),환율(17),가정(16),국제(16),상업용(15),산업용(15),액화석유가스(15),공급(15),,,,,,,,
418620,E8,디지털(53),국방(33),기술(29),트윈(28),외국인(18),전환(16),전략(14),기반(13),사례(11),전용(11),전장(10),무기체계(10),통합(10),,,,,,,
037370,EG,수막구균(65),임상(54),백신(30),결정(23),시장(22),개발(21),규모(21),멘비오(19),중남미(14),감염(13),,,,,,,,,,
365550,ESR켄달스퀘어리츠,리츠(11),부동산(7),인프라(4),기대감(3),수익률(3),투자(3),월배당(3),인플레이션(2),하반기(2),금리(2),미국(2),,,,,,,,,
050120,ES큐브,가상자산(6),거래소(4),가능성(4),투자(3),제도화(2),암호화폐(2),제도권(2),플랫폼(2),상장(2),,,,,,,,,,,
383220,F&F,서울(64),광진구(63),유니버스(65),리그(65),타임(58),전당(56),,,,,,,,,,,,,,
007700,F&F 홀딩스,거래일(11),주가(7),상법(6),지주사(5),투자(4),매각(3),,,,,,,,,,,,,,
214270,FSN,기준(15),브랜드(12),지난해(11),코스닥(10),상법(10),거래(9),전환사채(9),올해(9),투자(9),기업(8),,,,,,,,,,
130500,GH신소재,부직포(6),자동차(6),차량(4),신소재(3),생산(3),시장(3),내장재(2),원사(2),비자동차(2),인도(2),글로벌(2),대응(2),미국(2),현지(2),,,,,,
114090,GKL,원장(26),관광(21),어린이집(19),가치(10),국제학술대회(7),대학생(6),수상(6),창출(6),방안(6),관광동아리(6),,,,,,,,,,
900290,GRT,거래(9),주가(7),상승률(6),중국(3),지주사(2),,,,,,,,,,,,,,,
078930,GS,퓨처(206),리테일(191),기술(133),고객(120),데이터(93),멤버십(84),할인(82),오픈(72),이노베이션(72),기회(69),디지털(66),고도화(62),편의점(60),,,,,,,
083450,GST,인도(5),중국(4),트럼프(4),추천(3),시장(3),탄소(3),정부(3),섭씨(3),,,,,,,,,,,,
006360,GS건설,모듈러(19),주택(19),아파트(15),건축(13),신사업(11),목조(10),건설(10),규제(10),,,,,,,,,,,,
001250,GS글로벌,총수일가(3),변호인(3),전기동(3),회장(3),독점규제(2),공정거래법(2),계열사(2),시너지(2),구매(2),명노현(2),,,,,,,,,,
007070,GS리테일,퓨처(210),리테일(196),고객(97),기술(94),데이터(93),기회(71),디지털(67),고도화(65),자동화(58),편의점(52),,,,,,,,,,
499790,GS피앤엘,중국(11),관광객(10),인디(6),카지노(4),관광(3),개선(3),한류(3),한한령(3),수혜(3),지난해(3),가성비(3),가격(3),,,,,,,,
297890,HB솔루션,디스플레이장비(58),상장기업(58),브랜드(57),브랜드평판지수(52),빅데이터(44),참여지수(29),미디어지수(29),소통지수(29),커뮤니티지수(29),시장지수(29),브랜드평판(28),사회공헌지수(26),덕산네오룩스(24),소룩스(18),헬스케어(14),,,,,
440290,HB인베스트먼트,상반기(35),회수(31),벤처펀드(19),상장(18),투자(12),리그테이블(7),드라이파우더(7),코스닥(6),실적(6),,,,,,,,,,,
078150,HB테크놀러지,디스플레이장비(13),상장기업(13),브랜드(12),빅데이터(10),상승(10),브랜드평판지수(10),브랜드평판(6),참여지수(6),미디어지수(6),소통지수(6),커뮤니티지수(6),시장지수(6),사회공헌지수(5),,,,,,,
012630,HDC,기후변화(138),온실가스(137),공시기준(135),지속가능경영보고서(124),배출(113),대응(110),협력사(107),공시(106),지속가능성(100),경영(100),공급망(96),탄소중립(92),기후(86),환경(86),지표(85),성과(85),,,,
039570,HDC랩스,공사(5),매출(4),외부(3),주택사업(2),계열사(2),거래(2),건물설비(2),인테리어(2),관계사(2),설치(2),내부거래(2),,,,,,,,,
089470,HDC현대EP,미래차(4),실적(4),자사주(2),매입(2),주주(2),기반(2),대비(2),규모(2),자율주행(2),핵심(2),미래(2),,,,,,,,,
294870,HDC현대산업개발,기후변화(138),온실가스(137),공시기준(135),지속가능경영보고서(124),배출(113),대응(107),협력사(105),공시(103),경영(100),지속가능성(100),공급망(96),탄소중립(92),환경(86),기후(86),성과(85),지표(85),,,,
009540,HD한국조선해양,조선(110),상장기업(69),브랜드평판지수(66),브랜드(61),빅데이터(54),선박(49),수주(43),참여지수(37),커뮤니티지수(37),미디어지수(37),소통지수(36),시장지수(36),사회공헌지수(32),브랜드평판(32),미국(30),상반기(27),하락(26),친환경(24),,
267250,HD현대,건설기계(304),글로벌(257),매출(184),미래(161),성장(150),보통주(142),브랜드(137),엔진(132),합병(130),장비(105),사업(101),양사(99),내년(97),동력(92),,,,,,
267270,HD현대건설기계,건설기계(319),글로벌(251),매출(200),미래(170),보통주(151),성장(148),합병(140),엔진(134),장비(115),사업(99),양사(98),동력(95),,,,,,,,
