ticker,corp_name,ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%)
005810,풍산홀딩스,9.344,601.0,23.6,23.31,84.0,3.32
371950,풍원정밀,-70.74,2446.0,96.18,-37.04,2277.0,91.0
370090,퓨런티어,0.13,1592.0,62.59,-14.8,2101.0,83.97
445180,퓨릿,13.394,338.0,13.26,11.39,380.0,15.15
151910,퓨처코어,,,,3.47,1149.0,45.9
220100,퓨쳐켐,-15.917,2082.0,81.86,-54.75,2348.0,93.84
035200,프럼파스트,5.014,1078.0,42.37,5.48,881.0,35.19
334970,프레스티지바이오로직스,-34.258,2303.0,90.56,,,
950210,프레스티지바이오파마,-10.506,1986.0,78.09,,,
321260,프로이천,14.471,304.0,11.92,3.27,1183.0,47.26
053610,프로텍,4.001,1186.0,46.62,7.89,613.0,24.47
303360,프로티아,9.821,563.0,22.11,14.28,272.0,10.84
377220,프롬바이오,-42.215,2355.0,92.6,-36.13,2272.0,90.8
335810,프리시젼바이오,-25.31,2203.0,86.62,-28.04,2234.0,89.28
053160,프리엠스,-2.532,1740.0,68.41,-13.26,2080.0,83.13
405000,플라즈맵,-329.796,2538.0,99.8,-174.16,2442.0,97.6
041590,플래스크,-15.431,2073.0,81.51,-78.69,2390.0,95.52
367000,플래티어,-14.231,2056.0,80.84,-23.41,2200.0,87.92
075130,플랜티넷,3.959,1189.0,46.73,5.83,832.0,33.23
009810,플레이그램,-1.221,1682.0,66.13,-1.9,1770.0,70.73
237820,플레이디,5.15,1062.0,41.74,10.36,431.0,17.19
023770,플레이위드,-30.666,2268.0,89.18,-26.41,2221.0,88.76
019570,플루토스,-0.617,1650.0,64.87,12.32,339.0,13.51
300080,플리토,10.512,518.0,20.34,-1.95,1771.0,70.77
033790,피노,-6.355,1877.0,73.8,0.03,1667.0,66.61
032580,피델릭스,-4.525,1823.0,71.68,-10.11,2027.0,81.01
051380,피씨디렉트,-1.641,1705.0,67.03,0.56,1596.0,63.77
241820,피씨엘,-236.295,2530.0,99.49,,,
237750,피앤씨테크,3.202,1279.0,50.28,5.16,914.0,36.51
460940,피앤에스미캐닉스,9.746,570.0,22.38,22.75,88.0,3.48
319660,피에스케이,18.311,187.0,7.32,21.08,107.0,4.24
031980,피에스케이홀딩스,24.799,95.0,3.7,41.06,20.0,0.76
002230,피에스텍,4.361,1150.0,45.2,4.26,1032.0,41.22
043370,피에이치에이,8.144,707.0,27.77,4.46,1005.0,40.14
239890,피엔에이치테크,6.63,886.0,34.82,7.55,639.0,25.51
347740,피엔케이피부임상연구센타,7.546,780.0,30.65,14.47,263.0,10.48
137400,피엔티,26.116,81.0,3.15,15.77,219.0,8.72
257370,피엔티엠에스,5.505,1015.0,39.89,4.5,997.0,39.82
147760,피엠티,-37.311,2326.0,91.46,-53.71,2345.0,93.72
128660,피제이메탈,1.435,1475.0,57.99,3.6,1120.0,44.74
006140,피제이전자,7.149,816.0,32.06,6.37,761.0,30.39
376180,피코그램,18.063,193.0,7.55,8.82,537.0,21.43
304840,피플바이오,-89.229,2475.0,97.32,-308.22,2469.0,98.68
087600,픽셀플러스,4.048,1181.0,46.42,1.58,1440.0,57.54
291810,핀텔,0.321,1583.0,62.23,-14.36,2096.0,83.77
378340,필에너지,9.844,561.0,22.03,4.98,948.0,37.86
161580,필옵틱스,5.501,1016.0,39.93,3.36,1167.0,46.62
347770,핌스,-11.948,2015.0,79.23,-8.02,1990.0,79.53
163730,핑거,1.924,1425.0,56.02,-0.66,1713.0,68.45
417180,핑거스토리,6.743,874.0,34.34,8.21,584.0,23.31
086790,하나금융지주,8.999,627.0,24.63,5.95,815.0,32.55
299030,하나기술,-14.73,2062.0,81.08,-28.02,2232.0,89.2
067310,하나마이크론,-1.94,1721.0,67.66,8.54,558.0,22.27
166090,하나머티리얼즈,8.429,681.0,26.75,17.25,181.0,7.2
293480,하나제약,7.238,809.0,31.79,11.16,395.0,15.75
039130,하나투어,58.309,9.0,0.31,8.26,580.0,23.15
