날짜,종가,Return
2024-06-21,11512,
2024-06-24,11200,0.027857142857142803
2024-06-25,11168,0.002865329512893977
2024-06-26,11153,0.0013449296153500434
2024-06-27,11044,0.009869612459253885
2024-06-28,10841,0.01872520985148962
2024-07-01,10576,0.025056732223903255
2024-07-02,10310,0.02580019398642097
2024-07-03,9921,0.03920975708093932
2024-07-04,9999,-0.007800780078007774
2024-07-05,9952,0.004722668810289488
2024-07-08,9952,0.0
2024-07-09,9936,0.0016103059581320522
2024-07-10,9905,0.0031297324583543507
2024-07-11,9702,0.02092352092352101
2024-07-12,9765,-0.006451612903225823
2024-07-15,9765,0.0
2024-07-16,9577,0.01963036441474375
2024-07-17,9640,-0.006535269709543545
2024-07-18,9609,0.0032261421583932304
2024-07-19,9655,-0.004764370792335604
2024-07-22,10763,-0.10294527548081389
2024-07-23,10388,0.036099345398536764
2024-07-24,10092,0.02933016250495446
2024-07-25,10264,-0.016757599376461374
2024-07-26,10326,-0.006004261088514484
2024-07-29,10232,0.009186864738076617
2024-07-30,10232,0.0
2024-07-31,10170,0.0060963618485743165
2024-08-01,10295,-0.012141816415735751
2024-08-02,10232,0.006157154026583234
2024-08-05,9063,0.12898598698002872
2024-08-06,9359,-0.03162731061010793
2024-08-07,7066,0.3245117463911691
2024-08-08,7237,-0.023628575376537286
2024-08-09,9406,-0.23059749096321502
2024-08-12,9234,0.018626813948451337
2024-08-13,9515,-0.02953231739358908
2024-08-14,9250,0.028648648648648578
2024-08-16,9343,-0.009953976238895379
2024-08-19,8517,0.09698250557708121
2024-08-20,8517,0.0
2024-08-21,7752,0.09868421052631571
2024-08-22,7768,-0.002059732234809486
2024-08-23,7659,0.0142316229272752
2024-08-26,7487,0.022973153466007812
2024-08-27,7737,-0.032312265736073376
2024-08-28,7503,0.03118752499000399
2024-08-29,7347,0.021233156390363384
2024-08-30,7440,-0.012499999999999956
2024-09-02,7737,-0.03838697169445526
2024-09-03,7471,0.03560433676883945
2024-09-04,7284,0.02567270730367932
2024-09-05,7456,-0.02306866952789699
2024-09-06,7159,0.04148624109512511
2024-09-09,6941,0.031407578158766825
2024-09-10,6816,0.018339201877934252
2024-09-11,6582,0.03555150410209662
2024-09-12,6738,-0.02315227070347281
2024-09-13,7253,-0.07100510133737759
2024-09-19,6894,0.05207426747896715
2024-09-20,7050,-0.02212765957446805
2024-09-23,6754,0.04382588095943141
2024-09-24,6754,0.0
2024-09-25,6551,0.030987635475499875
2024-09-26,6770,-0.032348596750369274
2024-09-27,6770,0.0
2024-09-30,6770,0.0
2024-10-02,6770,0.0
2024-10-04,6770,0.0
2024-10-07,6770,0.0
2024-10-08,6770,0.0
2024-10-10,6770,0.0
2024-10-11,6770,0.0
2024-10-14,6770,0.0
2024-10-15,6490,0.04314329738058542
2024-10-16,6360,0.020440251572326984
2024-10-17,5970,0.0653266331658291
2024-10-18,5700,0.047368421052631504
2024-10-21,5890,-0.032258064516129004
2024-10-22,5890,0.0
2024-10-23,6140,-0.04071661237785018
2024-10-24,5950,0.031932773109243806
2024-10-25,5810,0.024096385542168752
2024-10-28,5910,-0.016920473773265665
2024-10-29,6010,-0.016638935108153063
2024-10-30,6010,0.0
2024-10-31,6010,0.0
2024-11-01,6000,0.0016666666666667052
2024-11-04,6060,-0.00990099009900991
2024-11-05,5980,0.013377926421404673
2024-11-06,5920,0.010135135135135087
2024-11-07,5920,0.0
2024-11-08,5860,0.010238907849829282
2024-11-11,5680,0.03169014084507049
2024-11-12,5860,-0.030716723549488067
2024-11-13,5450,0.07522935779816509
2024-11-14,6150,-0.11382113821138207
2024-11-15,5960,0.03187919463087252
2024-11-18,5790,0.029360967184801412
2024-11-19,5510,0.05081669691470059
2024-11-20,5510,0.0
2024-11-21,5540,-0.005415162454873612
2024-11-22,5400,0.025925925925925908
2024-11-25,6050,-0.1074380165289256
2024-11-26,6410,-0.05616224648985957
2024-11-27,6150,0.042276422764227606
2024-11-28,6070,0.01317957166392092
2024-11-29,5860,0.03583617747440271
2024-12-02,5500,0.06545454545454543
2024-12-03,5540,-0.0072202166064981865
2024-12-04,5560,-0.003597122302158251
2024-12-05,5350,0.03925233644859816
2024-12-06,5170,0.03481624758220514
2024-12-09,5090,0.015717092337917515
2024-12-10,5110,-0.003913894324853229
2024-12-11,5300,-0.03584905660377358
2024-12-12,5170,0.025145067698259194
2024-12-13,5090,0.015717092337917515
2024-12-16,5260,-0.03231939163498099
2024-12-17,5210,0.009596928982725572
2024-12-18,5270,-0.011385199240986688
2024-12-19,5040,0.045634920634920695
2024-12-20,4940,0.020242914979757165
2024-12-23,4800,0.029166666666666563
2024-12-24,4790,0.0020876826722338038
2024-12-26,4775,0.003141361256544517
2024-12-27,4665,0.023579849946409492
2024-12-30,4755,-0.018927444794952675
2025-01-02,4775,-0.004188481675392652
2025-01-03,4775,0.0
2025-01-06,4885,-0.022517911975434957
2025-01-07,4885,0.0
2025-01-08,4880,0.0010245901639345245
2025-01-09,4810,0.01455301455301461
2025-01-10,4810,0.0
2025-01-13,4815,-0.0010384215991692258
2025-01-14,4855,-0.008238928939237944
2025-01-15,4820,0.007261410788381717
2025-01-16,4815,0.0010384215991692258
2025-01-17,4815,0.0
2025-01-20,4650,0.03548387096774186
2025-01-21,4645,0.0010764262648008671
2025-01-22,4560,0.018640350877193068
2025-01-23,4455,0.023569023569023573
2025-01-24,4515,-0.013289036544850474
2025-01-31,4515,0.0
2025-02-03,4490,0.0055679287305121505
2025-02-04,4485,0.0011148272017837968
2025-02-05,4455,0.006734006734006703
