ticker,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
054620,,,,,,,,,,,,,,,,,,,,
079160,영화 (6회),진짜 (2회),망해가는데도 (2회),표값은 (2회),낮추는것도 (2회),안보는것같다 (1회),최근 (1회),흥행 (1회),안된다에프 (1회),영화코로나 (1회),아바타 (1회),영화관 (1회),시점영화값 (1회),트랜드가 (1회),바뀐거고패러다임을 (1회),전환시키지못하면기회는 (1회),표값다시 (1회),낮추라니까 (1회),절대 (1회),망하면 (1회)
083660,즐기자 (2회),https (2회),com (2회),naver (2회),코스믹 (1회),리포트 (1회),목표주가 (1회),분석정리 (1회),테마주 (1회),대박주 (1회),등극 (1회),흥분상태로 (1회),이다화장품은 (1회),로봇이나 (1회),기타 (1회),양자컴푸터 (1회),사업확장 (1회),추즉한다자기 (1회),그릇만큼 (1회),CSA (1회)
